appl_id,project,nctid
9524666,DA044279-01A1,NCT04752189
9530717,DA044745-01A1,NCT03799302
9537037,AT009932-01,NCT04082637
9613911,HD096796-01,NCT03831113
9613939,HD096798-01,NCT03718104
9614028,HD096800-01,NCT03923374
9621132,DA046316-01A1,NCT04683926
9621475,NR017575-01A1,NCT04468074
9625715,AT010106-01,NCT04433975
9627632,AT010125-01,NCT03798431
9661530,DA045695-01A1,NCT03698669
9670620,DA047682-01,NCT04406415
9674144,DA047714-01,NCT03950492
9677487,DA047720-01,NCT03810495
9677487,DA047720-01,NCT04716881
9680488,DA047779-01,NCT03845699
9683950,DA047793-01,NCT03842137
9693455,DA042859-02S1,NCT04776928
9697952,DA047925-01,NCT04828694
9707184,MH113136-02S2,NCT03543865
9712327,DA047982-01,NCT04219540
9728195,DA040314-04S3,NCT03407638
9728195,DA040314-04S3,NCT04535583
9729182,DA038999-05S1,NCT02537873
9729182,DA038999-05S1,NCT03143543
9729182,DA038999-05S1,NCT03143855
9729182,DA038999-05S1,NCT03495869
9730925,DA040314-04S4,NCT03407638
9730925,DA040314-04S4,NCT04535583
9736358,DA048375-01,NCT04104919
9736906,DA048388-01,NCT03787628
9739674,DA047094-01A1,NCT03980184
9740762,DA036221-05S2,NCT02672150
9743427,DA020024-14S2,NCT01675661
9743427,DA020024-14S2,NCT01982643
9743427,DA020024-14S2,NCT03078075
9743427,DA020024-14S2,NCT04059016
9743491,DA040309-04S3,NCT02915341
9743491,DA040309-04S3,NCT04155502
9743491,DA040309-04S3,NCT04535583
9743910,AT009293-03S1,NCT02868034
9743912,AT008559-02S1,NCT03687762
9743912,AT008559-02S1,NCT03916276
9745990,DA046635-01A1,NCT03959111
9746820,GM104942-03S1,NCT02195115
9750304,DA048508-01,NCT04495673
9751487,DA043122-03S1,NCT03369249
9752059,DA036221-05S3,NCT02672150
9752121,DA044826-02S1,NCT04268173
9752205,EB020404-05S1,NCT03184389
9754499,HD095254-01S1,NCT01353313
9754499,HD095254-01S1,NCT01702805
9754499,HD095254-01S1,NCT01793129
9754499,HD095254-01S1,NCT02951130
9754499,HD095254-01S1,NCT03169881
9754499,HD095254-01S1,NCT03340727
9754499,HD095254-01S1,NCT03456336
9755186,NR016681-02S1,NCT03432247
9755186,NR016681-02S1,NCT03782506
9765878,DA013727-19S1,NCT01675661
9765878,DA013727-19S1,NCT03078075
9765878,DA013727-19S1,NCT03918850
9765878,DA013727-19S1,NCT04907357
9767352,DE025633-03S1,NCT03724032
9771125,HL117664-05S2,NCT02212691
9772615,DA040316-04S3,NCT03559179
9772615,DA040316-04S3,NCT04198428
9772615,DA040316-04S3,NCT04345718
9772615,DA040316-04S3,NCT04867382
9772615,DA040316-04S3,NCT04921787
9775669,DE027441-02S1,NCT03584789
9778453,DA043288-02,NCT04027075
9778797,DA047682-02,NCT04406415
9778810,DA047720-02,NCT03810495
9778810,DA047720-02,NCT04716881
9787703,DA047682-02S1,NCT04406415
9788385,DA047714-02,NCT03950492
9788396,DA047793-02,NCT03842137
9790420,DA048734-01,NCT03789214
9794170,DA048743-01,NCT04901078
9816476,DA037621-05S1,NCT01992146
9816476,DA037621-05S1,NCT02684669
9820284,DA040316-04S4,NCT03559179
9820284,DA040316-04S4,NCT04198428
9820284,DA040316-04S4,NCT04345718
9820284,DA040316-04S4,NCT04867382
9820284,DA040316-04S4,NCT04921787
9821308,DA045745-02S1,NCT03545321
9821520,DA047793-01S1,NCT03842137
9828948,NS113269-01,NCT04241562
9829976,HD036801-22,NCT00014989
9829976,HD036801-22,NCT00069576
9829976,HD036801-22,NCT00098709
9829976,HD036801-22,NCT00135902
9829976,HD036801-22,NCT00388297
9829976,HD036801-22,NCT00439374
9829976,HD036801-22,NCT01222247
9829976,HD036801-22,NCT01376778
9829976,HD036801-22,NCT01959321
9829976,HD036801-22,NCT01990612
9829976,HD036801-22,NCT02518594
9829976,HD036801-22,NCT02901626
9829976,HD036801-22,NCT03364491
9829976,HD036801-22,NCT03487185
9829976,HD036801-22,NCT03944512
9833506,DA048375-02,NCT04104919
9833817,DA049394-01,NCT04111939
9836991,DA049406-01,NCT04111939
9837108,DA049412-01,NCT04111939
9837181,DA049415-01,NCT04111939
9837189,DA049417-01,NCT04111939
9837724,DA049435-01,NCT04418453
9837725,DA049436-01,NCT03918850
9837725,DA049436-01,NCT04218201
9838598,DA049444-01,NCT03918850
9838598,DA049444-01,NCT03936985
9839338,DA049468-01,NCT03918850
9843839,DA049599-01,NCT04475198
9848027,DA049631-01,NCT04491175
9848027,DA049631-01,NCT04494841
9848085,DA049630-01,NCT04236804
9848092,DA049629-01,NCT04656899
9848313,DA049623-01,NCT04244227
9848902,NS113661-01,NCT04085406
9849933,DA044053-02S1,NCT03779997
9851383,DA047925-02,NCT04828694
9852022,DA049694-01,NCT04218240
9852791,DA045085-01S1,NCT04400227
9853004,DA044279-02,NCT04752189
9853679,DA040309-04S4,NCT02915341
9853679,DA040309-04S4,NCT04155502
9853679,DA040309-04S4,NCT04535583
9856648,DA044522-16S1,NCT01088542
9856692,DA040316-04S5,NCT03559179
9856692,DA040316-04S5,NCT04198428
9856692,DA040316-04S5,NCT04345718
9856692,DA040316-04S5,NCT04867382
9856692,DA040316-04S5,NCT04921787
9857255,DA045396-02S1,NCT03655574
9858490,DA013732-19S3,NCT03023930
9858490,DA013732-19S3,NCT03275350
9858490,DA013732-19S3,NCT03911466
9858490,DA013732-19S3,NCT03911739
9858490,DA013732-19S3,NCT03918850
9858490,DA013732-19S3,NCT03936985
9860339,DA042059-04S2,NCT03241771
9860339,DA042059-04S2,NCT03337009
9860339,DA042059-04S2,NCT03337100
9860960,DA041434-03S1,NCT03015805
9867305,AT010604-01,NCT04080180
9867305,AT010604-01,NCT04464421
9867305,AT010604-01,NCT04693416
9867305,AT010604-01,NCT05075330
9867903,AT010799-01,NCT04248933
9868568,DA051241-01,NCT04648228
9869089,AR076387-01,NCT04683042
